,Unnamed: 0,0,1,label,cat,cluster
0,0,7.9294363853187555,-6.839926408526415,DFgc0.06_k0.60,unknown,2
1,1,-5.8964803895088425,-1.7748222419332615,DFgc0.20_k4.00,unknown,1
2,2,-5.8964803895088425,-1.7748222419332642,DFgc0.07_k20.00,unknown,1
3,3,1.4644994976868944,-0.12893261455604313,DFgc0.08_k0.10,unknown,0
4,4,1.2334073145121136,-0.31573497247675303,DFgc0.17_k0.01,unknown,0
5,5,2.335940775138836,2.936015591653387,DFgc0.10_k1.50,unknown,0
6,6,1.2973030614505268,-0.22466411716106152,DFgc0.15_k0.10,unknown,0
7,7,1.2334073145121136,-0.315734972476753,DFgc0.17_k0.20,unknown,0
8,8,1.3760541352614877,5.891902967475861,DFgc0.14_k4.00,unknown,0
9,9,0.5148946115357835,2.8451346269331763,DFgc0.06_k8.00,unknown,0
10,10,3.2930658813684497,6.360032765036509,DFgc0.05_k4.50,unknown,0
11,11,-5.8964803895088425,-1.7748222419332635,DFgc0.08_k10.00,unknown,1
12,12,4.243975500171379,-0.5804919229823177,DFgc0.12_k1.00,unknown,0
13,13,7.6269119637121605,-6.9564067893651504,DFgc0.07_k0.50,unknown,2
14,14,1.370453180110665,6.1036919864834545,DFgc0.11_k4.00,unknown,0
15,15,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k16.00,unknown,1
16,16,1.5981138495240033,1.895335350180064,DFgc0.07_k9.00,unknown,0
17,17,-5.8964803895088425,-1.7748222419332635,DFgc0.16_k20.00,unknown,1
18,18,6.378416326240985,-5.162145181409448,DFgc0.08_k0.80,unknown,2
19,19,1.7702628009740362,2.166940245987696,DFgc0.17_k1.50,unknown,0
20,20,-5.8964803895088425,-1.7748222419332635,DFgc0.10_k9.00,unknown,1
21,21,1.3736707283705472,-0.18326821732383214,DFgc0.12_k0.30,unknown,0
22,22,7.223750057845083,-7.050511890609057,DFgc0.15_k0.50,unknown,2
23,23,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k20.00,unknown,1
24,24,0.6819752734859613,7.786599986822294,DFgc0.12_k3.00,unknown,0
25,25,1.6992183704623407,-0.08342149209703095,DFgc0.06_k0.30,unknown,0
26,26,8.161822465431165,-6.761927034693946,DFgc0.05_k0.50,unknown,2
27,27,-5.8964803895088425,-1.7748222419332635,DFgc0.12_k10.00,unknown,1
28,28,-5.8964803895088425,-1.7748222419332635,DFgc0.11_k10.00,unknown,1
29,29,7.326404673060046,-7.004127493534262,DFgc0.10_k0.50,unknown,2
30,30,0.9164072507865224,5.808924431699525,DFgc0.10_k5.00,unknown,0
31,31,-5.8964803895088425,-1.7748222419332635,DFgc0.11_k9.00,unknown,1
32,32,4.5074228724784415,-3.392691118828562,DFgc0.12_k0.90,unknown,2
33,33,1.348246124795396,-0.2233783515354079,DFgc0.12_k0.01,unknown,0
34,34,6.681226659824097,-6.774862103513874,DFgc0.12_k0.60,unknown,2
35,35,-5.8964803895088425,-1.7748222419332635,DFgc0.05_k16.00,unknown,1
36,36,0.8718766636917497,3.3982111047723387,DFgc0.12_k2.00,unknown,0
37,37,2.7312651253509457,8.124116562972029,DFgc0.06_k3.00,unknown,0
38,38,4.730775284860621,-0.9111927690366082,DFgc0.06_k0.90,unknown,0
39,39,2.2586934160745065,2.0154210698728328,DFgc0.06_k9.00,unknown,0
40,40,7.8227710611643335,-6.725550705349157,DFgc0.06_k0.50,unknown,2
41,41,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k1.00,unknown,1
42,42,-5.8964803895088425,-1.7748222419332635,DFgc0.10_k25.00,unknown,1
43,43,6.583562051366235,-6.607292886990149,DFgc0.20_k0.50,unknown,2
44,44,-5.8964803895088425,-1.7748222419332635,DFgc0.15_k4.50,unknown,1
45,45,3.2363536792357457,5.294460918568919,DFgc0.05_k3.50,unknown,0
46,46,1.1096877020073843,3.6385973296147807,DFgc0.10_k7.00,unknown,0
47,47,-4.751250690021854,0.7624385447676377,DFgc0.15_k4.00,unknown,1
48,48,3.3675662944835083,5.970496122870058,DFgc0.05_k5.00,unknown,0
49,49,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k25.00,unknown,1
50,50,0.5402200861110654,3.5981972991818862,DFgc0.14_k2.00,unknown,0
51,51,2.4967940518553045,6.491411250701192,DFgc0.07_k4.00,unknown,0
52,52,-5.8964803895088425,-1.7748222419332635,DFgc0.11_k20.00,unknown,1
53,53,1.4766511475798136,-0.11371063353920954,DFgc0.08_k0.01,unknown,0
54,54,-1.637843888961242,0.6195286870530119,DFgc0.06_k10.00,unknown,0
55,55,-5.8964803895088425,-1.7748222419332635,DFgc0.05_k11.00,unknown,1
56,56,1.8827744565053381,3.3277436627316272,DFgc0.05_k8.00,unknown,0
57,57,1.221255664619194,-0.33095695349358656,DFgc0.18_k0.01,unknown,0
58,58,-5.8964803895088425,-1.7748222419332635,DFgc0.15_k20.00,unknown,1
59,59,2.9176168875996367,8.249791500839253,DFgc0.05_k3.00,unknown,0
60,60,1.6917451029687542,-0.1027608730446908,DFgc0.06_k0.20,unknown,0
61,61,5.024799022499443,-5.5760286373379575,DFgc0.17_k0.80,unknown,2
62,62,4.248315478391223,-4.152370781345194,DFgc0.17_k0.90,unknown,2
63,63,1.9051539015985377,4.540545882281468,DFgc0.10_k3.50,unknown,0
64,64,1.8736066798759978,1.474549570528224,DFgc0.08_k9.00,unknown,0
65,65,2.2616983266206856,4.2997463425130045,DFgc0.06_k6.00,unknown,0
66,66,7.1741029304734685,-6.300064396802678,DFgc0.08_k0.70,unknown,2
67,67,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k8.00,unknown,1
68,68,-1.2053091552506856,1.20688570018786,DFgc0.05_k10.00,unknown,0
69,69,-5.8964803895088425,-1.7748222419332635,DFgc0.11_k25.00,unknown,1
70,70,1.221255664619194,-0.33095695349358656,DFgc0.18_k0.20,unknown,0
71,71,7.6617941172060595,-6.9043055189371305,DFgc0.08_k0.50,unknown,2
72,72,1.653502969563879,-0.11461760760855527,DFgc0.06_k0.01,unknown,0
73,73,1.1783273777355612,-0.3527676303790074,DFgc0.18_k0.30,unknown,0
74,74,4.576538234758924,-0.045327957795211885,DFgc0.08_k1.00,unknown,0
75,75,-5.8964803895088425,-1.7748222419332635,DFgc0.15_k16.00,unknown,1
76,76,-5.8964803895088425,-1.7748222419332635,DFgc0.10_k20.00,unknown,1
77,77,-5.8964803895088425,-1.7748222419332635,DFgc0.05_k25.00,unknown,1
78,78,-5.8964803895088425,-1.7748222419332635,DFgc0.20_k3.50,unknown,1
79,79,1.058968679332411,5.908215966242789,DFgc0.08_k5.00,unknown,0
80,80,0.26063000449804585,6.335274905694928,DFgc0.15_k2.50,unknown,0
81,81,1.9295305847629642,4.137279541638612,DFgc0.07_k6.00,unknown,0
82,82,3.0637027665307266,3.805886361419375,DFgc0.05_k6.00,unknown,0
83,83,1.2044595179290474,5.073887976178078,DFgc0.10_k5.50,unknown,0
84,84,4.134673364904629,-0.4942059195452073,DFgc0.11_k1.00,unknown,0
85,85,4.884311330590659,0.4374482195908468,DFgc0.07_k1.00,unknown,0
86,86,-5.8964803895088425,-1.7748222419332635,DFgc0.20_k20.00,unknown,1
87,87,-5.8964803895088425,-1.7748222419332635,DFgc0.20_k9.00,unknown,1
88,88,1.6757232813710632,5.659159457879976,DFgc0.10_k4.50,unknown,0
89,89,1.664679423256256,-0.09929631493365912,DFgc0.18_k0.40,unknown,0
90,90,1.3920566185421592,-0.14039759656625975,DFgc0.11_k0.10,unknown,0
91,91,-5.8964803895088425,-1.7748222419332635,DFgc0.15_k9.00,unknown,1
92,92,4.335321915118757,-4.218969339837272,DFgc0.18_k0.90,unknown,2
93,93,-5.8964803895088425,-1.7748222419332635,DFgc0.10_k16.00,unknown,1
94,94,-0.11739514219930135,4.6532116446229965,DFgc0.11_k6.00,unknown,0
95,95,1.5404432870015954,7.701517848818178,DFgc0.10_k2.50,unknown,0
96,96,2.6976677610370565,5.624099131089495,DFgc0.06_k5.00,unknown,0
97,97,1.6748925345976995,4.310420040785745,DFgc0.06_k7.00,unknown,0
98,98,2.3850633740076126,6.365581380953845,DFgc0.08_k4.00,unknown,0
99,99,-5.8964803895088425,-1.7748222419332635,DFgc0.10_k10.00,unknown,1
100,100,1.736454536207868,4.890853262608162,DFgc0.08_k2.00,unknown,0
101,101,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k9.00,unknown,1
102,102,-0.05534649757350516,6.132175887587677,DFgc0.17_k2.50,unknown,0
103,103,7.461080250714492,-6.862389762434485,DFgc0.08_k0.60,unknown,2
104,104,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k4.00,unknown,1
105,105,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k2.00,unknown,1
106,106,-5.8964803895088425,-1.7748222419332635,DFgc0.20_k1.50,unknown,1
107,107,-5.8964803895088425,-1.7748222419332635,DFgc0.20_k6.00,unknown,1
108,108,0.4690933495270202,4.160209757935951,DFgc0.15_k3.50,unknown,0
109,109,-5.8964803895088425,-1.7748222419332635,DFgc0.15_k5.50,unknown,1
110,110,7.220060915673585,-6.8893315069745125,DFgc0.11_k0.50,unknown,2
111,111,1.9280283443587625,0.017356889648062073,DFgc0.05_k0.10,unknown,0
112,112,5.302954832438717,-5.922156605743695,DFgc0.18_k0.80,unknown,2
113,113,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k6.00,unknown,1
114,114,1.8823964921452951,3.891888243221739,DFgc0.10_k2.00,unknown,0
115,115,-5.8964803895088425,-1.7748222419332635,DFgc0.17_k3.50,unknown,1
116,116,1.1958471298451256,-0.35933948591423376,DFgc0.17_k0.30,unknown,0
117,117,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k16.00,unknown,1
118,118,-5.8964803895088425,-1.7748222419332635,DFgc0.07_k16.00,unknown,1
119,119,1.6642806821190557,-0.08767344361587645,DFgc0.06_k0.10,unknown,0
120,120,3.4217470989938588,-1.08806045438059,DFgc0.08_k0.40,unknown,0
121,121,1.2341809136976885,4.682176266235619,DFgc0.08_k6.00,unknown,0
122,122,-5.897148214909749,-1.7726195633252468,DFgc0.10_k8.00,unknown,1
123,123,1.8594594833828868,8.339913158181574,DFgc0.08_k3.00,unknown,0
124,124,7.311341873656723,-6.988990480608118,DFgc0.12_k0.50,unknown,2
125,125,1.221255664619194,-0.33095695349358656,DFgc0.18_k0.10,unknown,0
126,126,7.023588147527772,-6.85765522837812,DFgc0.17_k0.50,unknown,2
127,127,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k0.10,unknown,1
128,128,1.910805938240076,4.57556138338354,DFgc0.08_k7.00,unknown,0
129,129,6.191109107468235,-6.6221821659420605,DFgc0.12_k0.70,unknown,2
130,130,1.42062816215395,-0.11612727122317275,DFgc0.10_k0.10,unknown,0
131,131,7.050351144009942,-6.893101124773728,DFgc0.16_k0.50,unknown,2
132,132,-5.8964803895088425,-1.7748222419332635,DFgc0.07_k25.00,unknown,1
133,133,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k9.00,unknown,1
134,134,-0.08143441736710158,4.6704560063866865,DFgc0.12_k6.00,unknown,0
135,135,-5.8964803895088425,-1.7748222419332635,DFgc0.16_k6.00,unknown,1
136,136,0.4380542138238601,3.645036501444784,DFgc0.15_k2.00,unknown,0
137,137,4.728596268098318,0.8210425846764953,DFgc0.05_k1.00,unknown,0
138,138,-5.8964803895088425,-1.7748222419332635,DFgc0.10_k12.00,unknown,1
139,139,0.6408669439309778,2.5496592334488968,DFgc0.08_k8.00,unknown,0
140,140,1.5830251925591183,1.8723027012970703,DFgc0.05_k9.00,unknown,0
141,141,6.798757152195272,-6.732015790827143,DFgc0.18_k0.50,unknown,2
142,142,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k5.00,unknown,1
143,143,-5.8964803895088425,-1.7748222419332635,DFgc0.15_k6.00,unknown,1
144,144,0.33751404915396616,3.4957346269997003,DFgc0.16_k2.00,unknown,0
145,145,-5.8964803895088425,-1.7748222419332635,DFgc0.16_k4.00,unknown,1
146,146,-5.8964803895088425,-1.7748222419332635,DFgc0.11_k16.00,unknown,1
147,147,-5.8964803895088425,-1.7748222419332635,DFgc0.16_k9.00,unknown,1
148,148,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k10.00,unknown,1
149,149,-5.8964803895088425,-1.7748222419332635,DFgc0.12_k8.00,unknown,1
150,150,-5.8964803895088425,-1.7748222419332635,DFgc0.17_k4.50,unknown,1
151,151,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k0.50,unknown,1
152,152,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k6.00,unknown,1
153,153,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k25.00,unknown,1
154,154,5.1825555958159955,-2.795804361573462,DFgc0.06_k0.40,unknown,2
155,155,-5.8964803895088425,-1.7748222419332635,DFgc0.10_k11.00,unknown,1
156,156,2.1643364572632127,4.3828634901647385,DFgc0.05_k7.00,unknown,0
157,157,2.091143471688056,-0.27167471309929203,DFgc0.12_k0.40,unknown,0
158,158,1.3163072975955694,-0.2038720031608668,DFgc0.14_k0.10,unknown,0
159,159,7.20472990598881,-6.939776503595067,DFgc0.14_k0.50,unknown,2
160,160,1.348246124795396,-0.2233783515354079,DFgc0.12_k0.10,unknown,0
161,161,1.2441916982846912,-0.2869738278625069,DFgc0.16_k0.10,unknown,0
162,162,1.4709855208594391,-0.12099978478321124,DFgc0.08_k0.20,unknown,0
163,163,-5.8964803895088425,-1.7748222419332635,DFgc0.12_k9.00,unknown,1
164,164,1.5639887302724589,-0.21287609396143506,DFgc0.17_k0.40,unknown,0
165,165,2.3993800108517167,4.881801084289384,DFgc0.07_k2.00,unknown,0
166,166,2.512338972554079,3.283463081790245,DFgc0.11_k2.00,unknown,0
167,167,1.4987276029859709,-0.12244395678026898,DFgc0.08_k0.30,unknown,0
168,168,0.9861029681478021,5.167867823724586,DFgc0.11_k5.50,unknown,0
169,169,3.0036834530127567,5.59468694083111,DFgc0.06_k2.00,unknown,0
170,170,-5.8964803895088425,-1.7748222419332635,DFgc0.20_k4.50,unknown,1
171,171,2.8409225962876565,5.095495786796264,DFgc0.05_k5.50,unknown,0
172,172,4.057418233987458,-0.7744010876971794,DFgc0.14_k1.00,unknown,0
173,173,1.4946486541961257,8.022065952072866,DFgc0.10_k3.00,unknown,0
174,174,3.8736797952940174,-0.6545691632893201,DFgc0.15_k1.00,unknown,0
175,175,2.9115492214334533,5.706172932254701,DFgc0.05_k2.00,unknown,0
176,176,-5.8964803895088425,-1.7748222419332635,DFgc0.20_k2.00,unknown,1
177,177,4.839866124283085,-2.3238696989454035,DFgc0.08_k0.90,unknown,2
178,178,1.500895145976271,-0.1462300344194761,DFgc0.07_k0.10,unknown,0
179,179,0.703008885409525,5.432224207605166,DFgc0.12_k5.00,unknown,0
180,180,5.761911918501982,-6.682192891908678,DFgc0.17_k0.70,unknown,2
181,181,3.946136478569085,-0.6366843215340432,DFgc0.16_k1.00,unknown,0
182,182,4.631081991417535,0.875004773322213,DFgc0.06_k1.00,unknown,0
183,183,2.047388669183273,2.1001524805334766,DFgc0.15_k1.50,unknown,0
184,184,2.520218205618087,8.330572036550299,DFgc0.05_k2.50,unknown,0
185,185,3.6571907371269683,-1.0701474486913063,DFgc0.20_k1.00,unknown,0
186,186,-5.8964803895088425,-1.7748222419332635,DFgc0.20_k16.00,unknown,1
187,187,4.881292542866178,-0.17626105704009085,DFgc0.10_k1.00,unknown,0
188,188,1.221255664619194,-0.33095695349358656,DFgc0.20_k0.10,unknown,0
189,189,-5.8964803895088425,-1.7748222419332635,DFgc0.16_k16.00,unknown,1
190,190,1.8646009927223224,6.152682284235886,DFgc0.10_k4.00,unknown,0
191,191,-5.8964803895088425,-1.7748222419332635,DFgc0.05_k12.00,unknown,1
192,192,-5.8964803895088425,-1.7748222419332635,DFgc0.12_k7.00,unknown,1
193,193,0.016644593611434517,7.3667968714849135,DFgc0.14_k3.00,unknown,0
194,194,3.858247748696701,7.074301554867806,DFgc0.05_k4.00,unknown,0
195,195,-5.8964803895088425,-1.7748222419332635,DFgc0.25_k20.00,unknown,1
196,196,6.2644979379954675,-4.5929345438791485,DFgc0.06_k0.80,unknown,2
197,197,0.26624837891175585,4.797486407726857,DFgc0.10_k6.00,unknown,0
198,198,7.020527543738719,-5.994868402526747,DFgc0.06_k0.70,unknown,2
199,199,5.46048779761685,-5.531914422489855,DFgc0.12_k0.80,unknown,2
200,200,-5.8964803895088425,-1.7748222419332635,DFgc0.05_k20.00,unknown,1
201,201,3.121161594163965,6.775757751958665,DFgc0.06_k4.00,unknown,0
202,202,-5.8964803895088425,-1.7748222419332635,DFgc0.16_k25.00,unknown,1
203,203,1.1672925592783283,5.9670852008472535,DFgc0.12_k4.00,unknown,0
204,204,1.2334073145121136,-0.315734972476753,DFgc0.17_k0.10,unknown,0
205,205,-5.8964803895088425,-1.7748222419332635,DFgc0.14_k7.00,unknown,1
206,206,1.3367992294365114,-0.2372265480378739,DFgc0.12_k0.20,unknown,0
207,207,5.627237906347118,-6.653094011132567,DFgc0.18_k0.70,unknown,2
208,208,3.4589850485614937,3.6840242174464284,DFgc0.05_k1.50,unknown,0
